Borough,Date,UseOfForceCount,Average Score,Outcome: Arrested,Outcome: Hospitalised,Outcome: Detained - Mental Health Act,Outcome: Other
Barking and Dagenham,2017-06-30,208,0.7025,165,11,1,43
Barking and Dagenham,2017-09-30,287,0.7012,180,13,21,86
Barking and Dagenham,2017-12-31,369,0.6662,273,21,10,83
Barking and Dagenham,2018-03-31,474,0.6262,353,25,10,103
Barking and Dagenham,2018-06-30,521,0.615,371,14,13,131
Barking and Dagenham,2018-09-30,708,0.5875,538,30,22,134
Barking and Dagenham,2018-12-31,919,0.6,739,27,15,170
Barking and Dagenham,2019-03-31,890,0.5775,752,30,25,125
Barking and Dagenham,2019-06-30,936,0.5625,794,19,23,139
Barking and Dagenham,2019-09-30,907,0.57,739,36,24,155
Barking and Dagenham,2019-12-31,980,0.5512,825,18,24,138
Barking and Dagenham,2020-03-31,963,0.5712,820,25,11,127
Barking and Dagenham,2020-06-30,1364,0.5975,1172,26,17,179
Barking and Dagenham,2020-09-30,1243,0.6075,1038,54,38,159
Barking and Dagenham,2020-12-31,1246,0.59,1019,34,34,190
Barking and Dagenham,2021-03-31,1215,0.575,999,22,14,203
Barking and Dagenham,2021-06-30,996,0.5575,832,31,8,154
Barking and Dagenham,2021-09-30,967,0.5362,780,25,31,104
Barking and Dagenham,2021-12-31,970,0.5762,736,16,28,125
Barking and Dagenham,2022-03-31,938,0.5662,731,28,16,97
Barking and Dagenham,2022-06-30,769,0.5612,536,29,23,97
Barking and Dagenham,2022-09-30,812,0.5638,577,22,37,106
Barking and Dagenham,2022-12-31,801,0.5262,587,31,22,109
Barking and Dagenham,2023-03-31,857,0.5187,560,33,30,110
Barking and Dagenham,2023-06-30,719,0.5162,507,21,12,79
Barking and Dagenham,2023-09-30,705,0.5012,479,28,25,119
Barking and Dagenham,2023-12-31,548,0.5012,354,25,11,90
Barnet,2017-06-30,357,0.6862,248,23,19,79
Barnet,2017-09-30,403,0.6712,250,33,37,107
Barnet,2017-12-31,380,0.6587,258,34,29,87
Barnet,2018-03-31,543,0.6525,321,44,61,150
Barnet,2018-06-30,541,0.645,340,39,32,159
Barnet,2018-09-30,767,0.6487,548,42,50,163
Barnet,2018-12-31,1024,0.64,786,52,51,177
Barnet,2019-03-31,1196,0.6187,920,64,48,212
Barnet,2019-06-30,1088,0.6288,853,52,57,179
Barnet,2019-09-30,1158,0.6262,955,34,51,156
Barnet,2019-12-31,987,0.645,841,39,16,122
Barnet,2020-03-31,1229,0.6538,1032,40,25,174
Barnet,2020-06-30,1268,0.6387,1057,46,45,167
Barnet,2020-09-30,1210,0.6437,1016,42,46,147
Barnet,2020-12-31,1182,0.6138,1005,36,30,139
Barnet,2021-03-31,1045,0.5788,866,57,46,112
Barnet,2021-06-30,1245,0.5825,1032,57,37,159
Barnet,2021-09-30,1081,0.5675,830,43,44,116
Barnet,2021-12-31,1019,0.57,723,51,64,112
Barnet,2022-03-31,906,0.5575,654,46,45,110
Barnet,2022-06-30,985,0.53,679,36,67,122
Barnet,2022-09-30,802,0.5275,588,37,49,73
Barnet,2022-12-31,808,0.535,600,37,47,70
Barnet,2023-03-31,746,0.5287,520,33,40,88
Barnet,2023-06-30,747,0.5163,506,43,34,88
Barnet,2023-09-30,590,0.5125,411,22,20,80
Barnet,2023-12-31,606,0.505,438,31,27,56
Bexley,2017-06-30,250,0.7362,175,22,20,49
Bexley,2017-09-30,234,0.7113,175,22,10,43
Bexley,2017-12-31,213,0.7138,148,13,13,48
Bexley,2018-03-31,309,0.7,203,21,31,70
Bexley,2018-06-30,334,0.68,217,22,25,81
Bexley,2018-09-30,449,0.665,352,23,24,68
Bexley,2018-12-31,674,0.6225,558,37,45,69
Bexley,2019-03-31,695,0.595,605,29,27,59
Bexley,2019-06-30,715,0.6012,603,16,26,87
Bexley,2019-09-30,703,0.6125,551,42,44,96
Bexley,2019-12-31,692,0.6138,585,36,22,65
Bexley,2020-03-31,626,0.6275,527,28,29,55
Bexley,2020-06-30,919,0.6287,781,53,27,103
Bexley,2020-09-30,953,0.625,779,45,28,141
Bexley,2020-12-31,983,0.6625,800,47,27,129
Bexley,2021-03-31,939,0.6838,752,40,38,134
Bexley,2021-06-30,972,0.67,786,58,33,142
Bexley,2021-09-30,862,0.6475,637,39,40,103
Bexley,2021-12-31,792,0.625,561,39,36,98
Bexley,2022-03-31,809,0.585,577,29,23,109
Bexley,2022-06-30,764,0.56,547,25,31,88
Bexley,2022-09-30,644,0.5488,451,24,14,79
Bexley,2022-12-31,737,0.535,478,27,27,102
Bexley,2023-03-31,831,0.5288,540,45,41,94
Bexley,2023-06-30,730,0.5312,451,49,42,90
Bexley,2023-09-30,728,0.5337,457,50,36,111
Bexley,2023-12-31,618,0.5325,409,28,28,86
Brent,2017-06-30,418,0.6,289,10,17,113
Brent,2017-09-30,685,0.5888,499,36,24,164
Brent,2017-12-31,712,0.6038,500,25,44,162
Brent,2018-03-31,950,0.62,624,39,41,283
Brent,2018-06-30,1252,0.5962,840,54,59,359
Brent,2018-09-30,1831,0.5712,1322,55,46,450
Brent,2018-12-31,1847,0.545,1424,65,63,369
Brent,2019-03-31,1519,0.54,1255,48,52,225
Brent,2019-06-30,1544,0.5538,1241,43,42,265
Brent,2019-09-30,1813,0.6087,1543,54,47,220
Brent,2019-12-31,1292,0.6475,1085,33,39,183
Brent,2020-03-31,1324,0.6712,1094,36,41,179
Brent,2020-06-30,2023,0.6762,1684,46,70,276
Brent,2020-09-30,2200,0.6462,1842,50,57,310
Brent,2020-12-31,1731,0.6287,1471,47,48,208
Brent,2021-03-31,1765,0.5938,1466,47,59,231
Brent,2021-06-30,1839,0.5938,1555,71,56,221
Brent,2021-09-30,1560,0.5962,1178,53,51,169
Brent,2021-12-31,1343,0.5825,939,63,53,140
Brent,2022-03-31,1369,0.5638,994,50,52,118
Brent,2022-06-30,1330,0.5588,907,48,59,117
Brent,2022-09-30,1357,0.5475,973,58,71,125
Brent,2022-12-31,1172,0.5462,816,55,102,98
Brent,2023-03-31,1138,0.58,752,41,42,105
Brent,2023-06-30,1110,0.5412,718,39,48,104
Brent,2023-09-30,957,0.5312,662,45,56,88
Brent,2023-12-31,732,0.5262,543,28,24,66
Bromley,2017-06-30,366,0.685,272,30,24,62
Bromley,2017-09-30,292,0.6512,209,18,14,64
Bromley,2017-12-31,300,0.6388,203,19,16,73
Bromley,2018-03-31,393,0.6375,290,18,19,83
Bromley,2018-06-30,514,0.6088,358,27,38,113
Bromley,2018-09-30,750,0.6125,554,42,29,156
Bromley,2018-12-31,1083,0.62,873,24,31,177
Bromley,2019-03-31,1221,0.6175,1025,41,42,168
Bromley,2019-06-30,1198,0.6225,1011,40,36,161
Bromley,2019-09-30,1299,0.6412,1035,64,64,203
Bromley,2019-12-31,1131,0.625,936,49,30,158
Bromley,2020-03-31,1118,0.6425,949,36,55,115
Bromley,2020-06-30,1177,0.6625,947,49,69,153
Bromley,2020-09-30,1212,0.65,1021,46,37,147
Bromley,2020-12-31,1056,0.6662,893,63,40,96
Bromley,2021-03-31,964,0.6462,801,36,34,121
Bromley,2021-06-30,1022,0.6225,853,44,38,134
Bromley,2021-09-30,974,0.6038,763,33,33,113
Bromley,2021-12-31,921,0.575,712,27,29,86
Bromley,2022-03-31,922,0.5638,714,34,31,71
Bromley,2022-06-30,1060,0.5512,762,65,59,119
Bromley,2022-09-30,981,0.535,679,48,40,132
Bromley,2022-12-31,735,0.5237,526,25,37,66
Bromley,2023-03-31,801,0.5037,527,35,36,112
Bromley,2023-06-30,708,0.4912,521,24,21,69
Bromley,2023-09-30,660,0.4775,442,31,25,82
Bromley,2023-12-31,636,0.4738,449,32,30,71
Camden,2017-06-30,342,0.705,238,24,29,70
Camden,2017-09-30,469,0.6688,323,26,24,121
Camden,2017-12-31,527,0.65,324,36,24,162
Camden,2018-03-31,822,0.6362,538,53,67,203
Camden,2018-06-30,795,0.6262,493,47,48,243
Camden,2018-09-30,1098,0.6275,748,55,64,270
Camden,2018-12-31,1338,0.6125,1076,56,65,200
Camden,2019-03-31,1400,0.61,1164,40,39,208
Camden,2019-06-30,1278,0.6038,1052,60,59,172
Camden,2019-09-30,1489,0.5863,1256,65,87,161
Camden,2019-12-31,1675,0.5938,1407,76,49,214
Camden,2020-03-31,1702,0.5525,1408,57,79,210
Camden,2020-06-30,1795,0.5412,1471,93,99,246
Camden,2020-09-30,1668,0.54,1371,85,75,209
Camden,2020-12-31,1652,0.53,1307,90,93,231
Camden,2021-03-31,1477,0.55,1148,62,59,264
Camden,2021-06-30,1289,0.5412,1050,55,43,185
Camden,2021-09-30,1152,0.5387,855,56,41,134
Camden,2021-12-31,1096,0.5325,751,46,58,114
