Borough,SubjectInjured,Outcome: Arrested,Outcome: Hospitalised,Outcome: Detained - Mental Health Act,Outcome: Other,Impact_SubjectInjured,Impact_Outcome: Arrested,Impact_Outcome: Hospitalised,Impact_Outcome: Detained - Mental Health Act,Impact_Outcome: Other,Total_Impact
Barking and Dagenham,91.71428571428571,2474.0,98.71428571428571,77.0,471.7142857142857,-0.10088571428571429,-0.09547166,0.049357142857142856,-0.10779999999999999,0.1886857142857143,-0.06611451714285715
Barnet,103.28571428571429,2596.4285714285716,157.28571428571428,157.42857142857142,477.2857142857143,-0.11361428571428572,-0.10019617857142858,0.07864285714285714,-0.22039999999999998,0.19091428571428573,-0.16465332142857145
Bexley,83.28571428571429,1944.857142857143,129.0,112.42857142857143,335.2857142857143,-0.09161428571428573,-0.07505203714285714,0.0645,-0.1574,0.1341142857142857,-0.12545203714285716
Brent,152.85714285714286,3999.4285714285716,176.57142857142858,194.28571428571428,749.2857142857143,-0.16814285714285715,-0.15433794857142857,0.08828571428571429,-0.27199999999999996,0.29971428571428577,-0.20648080571428556
Bromley,119.28571428571429,2593.285714285714,142.0,136.28571428571428,433.85714285714283,-0.13121428571428573,-0.10007489571428571,0.07100000000000001,-0.1908,0.17354285714285714,-0.1775463242857143
Camden,135.0,3364.0,225.42857142857142,242.14285714285714,623.8571428571429,-0.14850000000000002,-0.12981676,0.11271428571428571,-0.33899999999999997,0.24954285714285718,-0.2550596171428571
City of Westminster,257.2857142857143,6870.714285714285,436.14285714285717,347.57142857142856,1609.142857142857,-0.2830142857142857,-0.26514086428571426,0.21807142857142858,-0.4866,0.6436571428571429,-0.17302657857142845
Croydon,191.14285714285714,4696.571428571428,204.28571428571428,172.0,816.7142857142857,-0.21025714285714286,-0.18124069142857144,0.10214285714285715,-0.2408,0.3266857142857143,-0.20346926285714279
Ealing,124.85714285714286,3085.4285714285716,153.85714285714286,166.71428571428572,493.7142857142857,-0.13734285714285716,-0.11906668857142857,0.07692857142857143,-0.2334,0.1974857142857143,-0.21539526000000006
Enfield,110.0,2727.285714285714,149.0,204.28571428571428,387.85714285714283,-0.12100000000000001,-0.10524595571428572,0.0745,-0.286,0.15514285714285714,-0.28260309857142857
Greenwich,129.42857142857142,2876.5714285714284,169.14285714285714,171.57142857142858,492.42857142857144,-0.14237142857142857,-0.11100689142857142,0.08457142857142858,-0.24020000000000002,0.19697142857142858,-0.21203546285714286
Hackney,173.0,4187.0,176.28571428571428,225.71428571428572,793.1428571428571,-0.19030000000000002,-0.16157633000000002,0.08814285714285713,-0.316,0.31725714285714285,-0.2624763300000001
Hammersmith and Fulham,99.14285714285714,2550.714285714286,176.85714285714286,184.42857142857142,566.2857142857143,-0.10905714285714285,-0.09843206428571429,0.08842857142857143,-0.2582,0.22651428571428575,-0.15074634999999995
Haringey,122.28571428571429,3295.1428571428573,138.71428571428572,172.28571428571428,655.5714285714286,-0.13451428571428573,-0.12715956285714286,0.06935714285714287,-0.2412,0.2622285714285714,-0.17128813428571432
Harrow,61.285714285714285,1579.142857142857,77.85714285714286,93.85714285714286,233.57142857142858,-0.06741428571428572,-0.060939122857142855,0.03892857142857143,-0.13140000000000002,0.09342857142857144,-0.12739626571428572
Havering,119.14285714285714,2322.285714285714,175.0,140.57142857142858,575.4285714285714,-0.13105714285714287,-0.08961700571428571,0.08750000000000001,-0.1968,0.23017142857142858,-0.09980272000000001
Hillingdon,100.42857142857143,2477.0,149.42857142857142,183.57142857142858,386.42857142857144,-0.11047142857142858,-0.09558743,0.0747142857142857,-0.257,0.15457142857142858,-0.23377314428571427
Hounslow,102.57142857142857,2626.4285714285716,147.0,169.57142857142858,371.85714285714283,-0.11282857142857143,-0.10135387857142858,0.0735,-0.23740000000000003,0.14874285714285715,-0.22933959285714292
Islington,120.42857142857143,3183.0,169.42857142857142,175.71428571428572,556.1428571428571,-0.13247142857142857,-0.12283197,0.08471428571428571,-0.246,0.22245714285714285,-0.19413197
Kensington and Chelsea,91.14285714285714,1850.7142857142858,165.28571428571428,143.14285714285714,365.57142857142856,-0.10025714285714286,-0.07141906428571429,0.08264285714285714,-0.2004,0.14622857142857143,-0.14320477857142855
Kingston upon Thames,60.142857142857146,1387.142857142857,114.71428571428571,118.57142857142857,366.57142857142856,-0.06615714285714286,-0.05352984285714286,0.05735714285714286,-0.166,0.14662857142857144,-0.08170127142857142
Lambeth,218.14285714285714,4936.857142857143,238.28571428571428,204.0,953.4285714285714,-0.23995714285714287,-0.19051331714285716,0.11914285714285715,-0.2856,0.3813714285714286,-0.21555617428571427
Lewisham,188.71428571428572,3944.8571428571427,212.85714285714286,206.14285714285714,739.7142857142857,-0.20758571428571432,-0.15223203714285713,0.10642857142857143,-0.28859999999999997,0.2958857142857143,-0.24610346571428565
Merton,50.285714285714285,1197.4285714285713,69.71428571428571,65.0,150.28571428571428,-0.05531428571428572,-0.04620876857142857,0.03485714285714286,-0.091,0.06011428571428572,-0.0975516257142857
Newham,157.57142857142858,4676.857142857143,180.85714285714286,191.42857142857142,712.5714285714286,-0.17332857142857144,-0.18047991714285716,0.09042857142857143,-0.26799999999999996,0.2850285714285714,-0.24635134571428574
Redbridge,77.14285714285714,2240.1428571428573,103.71428571428571,105.14285714285714,339.2857142857143,-0.08485714285714285,-0.08644711285714286,0.05185714285714286,-0.1472,0.1357142857142857,-0.13093282714285712
Richmond upon Thames,35.714285714285715,838.7142857142857,68.14285714285714,75.14285714285714,107.14285714285714,-0.03928571428571429,-0.032365984285714286,0.03407142857142857,-0.10519999999999999,0.04285714285714286,-0.09992312714285713
Southwark,189.28571428571428,4579.571428571428,234.71428571428572,211.85714285714286,779.4285714285714,-0.2082142857142857,-0.17672566142857143,0.11735714285714287,-0.29660000000000003,0.3117714285714286,-0.25241137571428574
Sutton,57.714285714285715,1332.0,113.0,71.0,217.14285714285714,-0.06348571428571428,-0.051401880000000004,0.0565,-0.0994,0.08685714285714285,-0.07093045142857143
Tower Hamlets,147.85714285714286,4088.714285714286,141.28571428571428,138.14285714285714,701.1428571428571,-0.16264285714285714,-0.1577834842857143,0.07064285714285715,-0.1934,0.28045714285714285,-0.1627263414285714
Waltham Forest,115.0,2515.0,125.0,123.42857142857143,469.57142857142856,-0.1265,-0.09705385,0.0625,-0.1728,0.18782857142857143,-0.14602527857142858
Wandsworth,110.71428571428571,2399.1428571428573,170.42857142857142,163.57142857142858,630.0,-0.12178571428571429,-0.09258292285714287,0.08521428571428571,-0.229,0.252,-0.10615435142857144
