Borough,Outcome: Arrested,Outcome: Hospitalised,Outcome: Detained - Mental Health Act,Outcome: Other,Impact_Outcome: Arrested,Impact_Outcome: Hospitalised,Impact_Outcome: Detained - Mental Health Act,Impact_Outcome: Other,Total_Impact
Barking and Dagenham,2493.714285714286,99.14285714285714,77.85714285714286,479.2857142857143,-0.13912432,0.039657142857142856,-0.109,0.14378571428571427,-0.06468146285714285
Barnet,2611.0,159.0,159.57142857142858,486.2857142857143,-0.14566769,0.0636,-0.22340000000000002,0.14588571428571426,-0.15958197571428576
Bexley,1957.857142857143,129.85714285714286,112.42857142857143,342.7142857142857,-0.10922885,0.051942857142857145,-0.1574,0.1028142857142857,-0.11187170714285717
Brent,4030.8571428571427,177.0,194.71428571428572,764.0,-0.22488151999999997,0.0708,-0.2726,0.2292,-0.19748152
Bromley,2617.8571428571427,142.85714285714286,136.71428571428572,443.57142857142856,-0.14605025,0.05714285714285715,-0.19140000000000001,0.13307142857142856,-0.14723596428571428
Camden,3385.8571428571427,227.14285714285714,243.28571428571428,633.1428571428571,-0.18889697,0.09085714285714286,-0.34059999999999996,0.1899428571428571,-0.24869697
City of Westminster,6903.285714285715,438.2857142857143,349.14285714285717,1633.857142857143,-0.38513431000000004,0.17531428571428573,-0.4888,0.49015714285714285,-0.2084628814285715
Croydon,4744.857142857143,205.42857142857142,172.57142857142858,840.7142857142857,-0.26471558,0.08217142857142858,-0.2416,0.25221428571428567,-0.17192986571428576
Ealing,3097.714285714286,154.0,167.42857142857142,502.57142857142856,-0.17282148,0.0616,-0.23439999999999997,0.15077142857142856,-0.19485005142857142
Enfield,2746.714285714286,149.42857142857142,204.28571428571428,398.7142857142857,-0.15323919,0.05977142857142857,-0.286,0.1196142857142857,-0.25985347571428574
Greenwich,2893.285714285714,169.71428571428572,172.0,500.7142857142857,-0.16141640999999998,0.06788571428571429,-0.2408,0.15021428571428572,-0.18411640999999998
Hackney,4217.714285714285,178.14285714285714,226.0,809.2857142857143,-0.23530627999999998,0.07125714285714285,-0.3164,0.24278571428571427,-0.23766342285714287
Hammersmith and Fulham,2574.285714285714,178.14285714285714,184.85714285714286,588.5714285714286,-0.1436194,0.07125714285714285,-0.25880000000000003,0.17657142857142855,-0.15459082857142864
Haringey,3311.1428571428573,139.42857142857142,173.0,664.5714285714286,-0.18472866000000002,0.05577142857142857,-0.2422,0.19937142857142856,-0.17178580285714293
Harrow,1592.2857142857142,78.0,93.85714285714286,238.28571428571428,-0.08883362,0.031200000000000002,-0.13140000000000002,0.07148571428571428,-0.11754790571428574
Havering,2338.285714285714,175.57142857142858,141.28571428571428,589.8571428571429,-0.13045296,0.07022857142857143,-0.19779999999999998,0.17695714285714284,-0.08106724571428572
Hillingdon,2496.5714285714284,151.42857142857142,184.28571428571428,396.7142857142857,-0.13928372,0.06057142857142857,-0.258,0.11901428571428571,-0.21769800571428574
Hounslow,2635.714285714286,147.85714285714286,170.14285714285714,378.57142857142856,-0.1470465,0.05914285714285715,-0.2382,0.11357142857142856,-0.21253221428571428
Islington,3203.5714285714284,170.14285714285714,176.57142857142858,569.5714285714286,-0.17872725,0.06805714285714286,-0.2472,0.17087142857142856,-0.1869986785714286
Kensington and Chelsea,1864.7142857142858,165.71428571428572,143.14285714285714,377.0,-0.10403241,0.0662857142857143,-0.2004,0.11309999999999999,-0.12504669571428573
Kingston upon Thames,1398.2857142857142,115.14285714285714,119.0,373.42857142857144,-0.07801036,0.04605714285714286,-0.1666,0.11202857142857142,-0.08652464571428573
Lambeth,4970.0,239.14285714285714,204.71428571428572,988.2857142857143,-0.2772763,0.09565714285714286,-0.2866,0.2964857142857143,-0.17173344285714282
Lewisham,3970.4285714285716,213.28571428571428,207.0,756.2857142857143,-0.22151021,0.08531428571428572,-0.2898,0.22688571428571427,-0.19911021000000004
Merton,1213.142857142857,70.14285714285714,65.14285714285714,154.14285714285714,-0.06768124,0.028057142857142857,-0.09119999999999999,0.046242857142857134,-0.08458124
Newham,4703.857142857143,180.85714285714286,191.71428571428572,729.7142857142857,-0.26242819,0.07234285714285715,-0.2684,0.21891428571428567,-0.2395710471428572
Redbridge,2251.0,104.14285714285714,105.57142857142857,346.0,-0.12558329,0.04165714285714286,-0.1478,0.10379999999999999,-0.1279261471428571
Richmond upon Thames,857.2857142857143,69.14285714285714,77.57142857142857,112.57142857142857,-0.047827970000000004,0.027657142857142856,-0.1086,0.03377142857142857,-0.09499939857142858
Southwark,4604.857142857143,236.0,212.28571428571428,805.2857142857143,-0.25690498,0.0944,-0.29719999999999996,0.2415857142857143,-0.2181192657142857
Sutton,1350.4285714285713,113.42857142857143,71.0,223.57142857142858,-0.07534041,0.045371428571428576,-0.0994,0.06707142857142857,-0.06229755285714285
Tower Hamlets,4101.714285714285,141.71428571428572,138.14285714285714,712.1428571428571,-0.22883463999999998,0.05668571428571429,-0.1934,0.2136428571428571,-0.15190606857142855
Waltham Forest,2533.5714285714284,126.14285714285714,123.71428571428571,480.2857142857143,-0.14134795,0.05045714285714286,-0.1732,0.14408571428571426,-0.12000509285714289
Wandsworth,2428.285714285714,171.28571428571428,164.57142857142858,642.0,-0.13547406,0.06851428571428571,-0.23040000000000002,0.1926,-0.10475977428571431
