Borough,SubjectInjured,Outcome: Arrested,Outcome: Hospitalised,Outcome: Detained - Mental Health Act,Outcome: Other
Barking and Dagenham,92.71428571428571,2493.714285714286,99.14285714285714,77.85714285714286,479.2857142857143
Barnet,105.14285714285714,2611.0,159.0,159.57142857142858,486.2857142857143
Bexley,83.85714285714286,1957.857142857143,129.85714285714286,112.42857142857143,342.7142857142857
Brent,155.28571428571428,4030.8571428571427,177.0,194.71428571428572,764.0
Bromley,120.0,2617.8571428571427,142.85714285714286,136.71428571428572,443.57142857142856
Camden,135.85714285714286,3385.8571428571427,227.14285714285714,243.28571428571428,633.1428571428571
City of Westminster,259.2857142857143,6903.285714285715,438.2857142857143,349.14285714285717,1633.857142857143
Croydon,193.71428571428572,4744.857142857143,205.42857142857142,172.57142857142858,840.7142857142857
Ealing,126.0,3097.714285714286,154.0,167.42857142857142,502.57142857142856
Enfield,111.14285714285714,2746.714285714286,149.42857142857142,204.28571428571428,398.7142857142857
Greenwich,132.0,2893.285714285714,169.71428571428572,172.0,500.7142857142857
Hackney,174.71428571428572,4217.714285714285,178.14285714285714,226.0,809.2857142857143
Hammersmith and Fulham,99.42857142857143,2574.285714285714,178.14285714285714,184.85714285714286,588.5714285714286
Haringey,122.71428571428571,3311.1428571428573,139.42857142857142,173.0,664.5714285714286
Harrow,62.142857142857146,1592.2857142857142,78.0,93.85714285714286,238.28571428571428
Havering,120.28571428571429,2338.285714285714,175.57142857142858,141.28571428571428,589.8571428571429
Hillingdon,102.71428571428571,2496.5714285714284,151.42857142857142,184.28571428571428,396.7142857142857
Hounslow,104.14285714285714,2635.714285714286,147.85714285714286,170.14285714285714,378.57142857142856
Islington,121.71428571428571,3203.5714285714284,170.14285714285714,176.57142857142858,569.5714285714286
Kensington and Chelsea,91.85714285714286,1864.7142857142858,165.71428571428572,143.14285714285714,377.0
Kingston upon Thames,61.285714285714285,1398.2857142857142,115.14285714285714,119.0,373.42857142857144
Lambeth,219.85714285714286,4970.0,239.14285714285714,204.71428571428572,988.2857142857143
Lewisham,191.57142857142858,3970.4285714285716,213.28571428571428,207.0,756.2857142857143
Merton,51.0,1213.142857142857,70.14285714285714,65.14285714285714,154.14285714285714
Newham,158.57142857142858,4703.857142857143,180.85714285714286,191.71428571428572,729.7142857142857
Redbridge,77.28571428571429,2251.0,104.14285714285714,105.57142857142857,346.0
Richmond upon Thames,36.57142857142857,857.2857142857143,69.14285714285714,77.57142857142857,112.57142857142857
Southwark,191.57142857142858,4604.857142857143,236.0,212.28571428571428,805.2857142857143
Sutton,59.0,1350.4285714285713,113.42857142857143,71.0,223.57142857142858
Tower Hamlets,148.14285714285714,4101.714285714285,141.71428571428572,138.14285714285714,712.1428571428571
Waltham Forest,116.14285714285714,2533.5714285714284,126.14285714285714,123.71428571428571,480.2857142857143
Wandsworth,112.42857142857143,2428.285714285714,171.28571428571428,164.57142857142858,642.0
