LSOA code,Borough
Camden 001A,Camden
Camden 001B,Camden
Camden 001C,Camden
Camden 001D,Camden
Camden 001E,Camden
Camden 002A,Camden
Camden 002B,Camden
Camden 002C,Camden
Camden 002D,Camden
Camden 002E,Camden
Camden 003A,Camden
Camden 003B,Camden
Camden 003C,Camden
Camden 003D,Camden
Camden 003E,Camden
Camden 004A,Camden
Camden 004B,Camden
Camden 004C,Camden
Camden 004D,Camden
Camden 004E,Camden
Camden 005A,Camden
Camden 005B,Camden
Camden 005C,Camden
Camden 005D,Camden
Camden 005E,Camden
Camden 006A,Camden
Camden 006B,Camden
Camden 006C,Camden
Camden 006D,Camden
Camden 006E,Camden
Camden 007A,Camden
Camden 007B,Camden
Camden 007C,Camden
Camden 007D,Camden
Camden 007E,Camden
Camden 007F,Camden
Camden 008A,Camden
Camden 008B,Camden
Camden 008C,Camden
Camden 008D,Camden
Camden 008E,Camden
Camden 009A,Camden
Camden 009B,Camden
Camden 009C,Camden
Camden 009D,Camden
Camden 009E,Camden
Camden 010A,Camden
Camden 010B,Camden
Camden 010C,Camden
Camden 010D,Camden
Camden 010E,Camden
Camden 011A,Camden
Camden 011B,Camden
Camden 011C,Camden
Camden 011D,Camden
Camden 012A,Camden
Camden 012B,Camden
Camden 012C,Camden
Camden 012D,Camden
Camden 012E,Camden
Camden 013A,Camden
Camden 013B,Camden
Camden 013C,Camden
Camden 013D,Camden
Camden 013E,Camden
Camden 014A,Camden
Camden 014B,Camden
Camden 014C,Camden
Camden 014D,Camden
Camden 015A,Camden
Camden 015B,Camden
Camden 015C,Camden
Camden 015D,Camden
Camden 015E,Camden
Camden 016A,Camden
Camden 016B,Camden
Camden 016C,Camden
Camden 016D,Camden
Camden 016E,Camden
Camden 017A,Camden
Camden 017B,Camden
Camden 017C,Camden
Camden 017D,Camden
Camden 018A,Camden
Camden 018B,Camden
Camden 018C,Camden
Camden 018D,Camden
Camden 018E,Camden
Camden 019A,Camden
Camden 019B,Camden
Camden 019C,Camden
Camden 019D,Camden
Camden 019E,Camden
Camden 020A,Camden
Camden 020B,Camden
Camden 020C,Camden
Camden 020D,Camden
Camden 020E,Camden
Camden 021A,Camden
Camden 021B,Camden
Camden 021C,Camden
Camden 021D,Camden
Camden 022A,Camden
Camden 022B,Camden
Camden 022C,Camden
Camden 022D,Camden
Camden 022E,Camden
Camden 023A,Camden
Camden 023B,Camden
Camden 023C,Camden
Camden 023D,Camden
Camden 023E,Camden
Camden 024A,Camden
Camden 024B,Camden
Camden 024C,Camden
Camden 024D,Camden
Camden 025A,Camden
Camden 025B,Camden
Camden 025C,Camden
Camden 025D,Camden
Camden 025E,Camden
Camden 026A,Camden
Camden 026B,Camden
Camden 026C,Camden
Camden 026D,Camden
Camden 027A,Camden
Camden 027B,Camden
Camden 027C,Camden
Camden 027D,Camden
Camden 028A,Camden
Camden 028B,Camden
Camden 028C,Camden
Camden 028D,Camden
City of London 001A,City of London
City of London 001B,City of London
City of London 001C,City of London
City of London 001E,City of London
City of London 001F,City of London
City of London 001G,City of London
Hackney 001A,Hackney
Hackney 001B,Hackney
Hackney 001C,Hackney
Hackney 001D,Hackney
Hackney 001E,Hackney
Hackney 002A,Hackney
Hackney 002D,Hackney
Hackney 002E,Hackney
Hackney 002F,Hackney
Hackney 003A,Hackney
Hackney 003B,Hackney
Hackney 003C,Hackney
Hackney 003D,Hackney
Hackney 003E,Hackney
Hackney 004A,Hackney
Hackney 004B,Hackney
Hackney 004C,Hackney
Hackney 004D,Hackney
Hackney 004E,Hackney
Hackney 006A,Hackney
Hackney 006B,Hackney
Hackney 006C,Hackney
Hackney 006D,Hackney
Hackney 006E,Hackney
Hackney 007A,Hackney
Hackney 007B,Hackney
Hackney 007C,Hackney
Hackney 007D,Hackney
Hackney 007E,Hackney
Hackney 007F,Hackney
Hackney 008A,Hackney
Hackney 008B,Hackney
Hackney 008C,Hackney
Hackney 008D,Hackney
Hackney 009A,Hackney
Hackney 009B,Hackney
Hackney 009C,Hackney
Hackney 009D,Hackney
Hackney 009E,Hackney
Hackney 010A,Hackney
Hackney 010B,Hackney
Hackney 010D,Hackney
Hackney 010E,Hackney
Hackney 010F,Hackney
Hackney 010G,Hackney
Hackney 011A,Hackney
Hackney 011B,Hackney
Hackney 011C,Hackney
Hackney 011D,Hackney
Hackney 011E,Hackney
Hackney 012A,Hackney
Hackney 012B,Hackney
Hackney 012C,Hackney
Hackney 012D,Hackney
Hackney 013A,Hackney
Hackney 013B,Hackney
Hackney 013C,Hackney
Hackney 013D,Hackney
Hackney 014A,Hackney
Hackney 014B,Hackney
Hackney 014C,Hackney
Hackney 014D,Hackney
Hackney 014E,Hackney
Hackney 014F,Hackney
Hackney 015A,Hackney
Hackney 015B,Hackney
Hackney 015C,Hackney
Hackney 015D,Hackney
Hackney 016A,Hackney
Hackney 016B,Hackney
Hackney 016C,Hackney
Hackney 016D,Hackney
Hackney 016E,Hackney
Hackney 016F,Hackney
Hackney 017A,Hackney
Hackney 017B,Hackney
Hackney 017C,Hackney
Hackney 017D,Hackney
Hackney 018A,Hackney
Hackney 018B,Hackney
Hackney 018C,Hackney
Hackney 018D,Hackney
Hackney 019A,Hackney
Hackney 019B,Hackney
Hackney 019C,Hackney
Hackney 019D,Hackney
Hackney 019E,Hackney
Hackney 019F,Hackney
Hackney 020A,Hackney
Hackney 020B,Hackney
Hackney 020C,Hackney
Hackney 020D,Hackney
Hackney 020E,Hackney
Hackney 021B,Hackney
Hackney 021C,Hackney
Hackney 021D,Hackney
Hackney 021E,Hackney
Hackney 021F,Hackney
Hackney 021G,Hackney
Hackney 021H,Hackney
Hackney 021I,Hackney
Hackney 022A,Hackney
Hackney 022B,Hackney
Hackney 022C,Hackney
Hackney 022D,Hackney
Hackney 022E,Hackney
Hackney 023B,Hackney
Hackney 023C,Hackney
Hackney 023D,Hackney
Hackney 023E,Hackney
Hackney 023F,Hackney
Hackney 023G,Hackney
Hackney 024A,Hackney
Hackney 024B,Hackney
Hackney 024C,Hackney
Hackney 024D,Hackney
Hackney 024E,Hackney
Hackney 024F,Hackney
Hackney 025A,Hackney
Hackney 025B,Hackney
Hackney 025C,Hackney
Hackney 025D,Hackney
Hackney 025E,Hackney
Hackney 025F,Hackney
Hackney 026A,Hackney
Hackney 026B,Hackney
Hackney 026C,Hackney
Hackney 026D,Hackney
Hackney 027B,Hackney
Hackney 027D,Hackney
Hackney 027E,Hackney
Hackney 027F,Hackney
Hackney 027G,Hackney
Hackney 027H,Hackney
Hackney 027I,Hackney
Hackney 028A,Hackney
Hackney 028B,Hackney
Hackney 028C,Hackney
Hackney 028D,Hackney
Hackney 028E,Hackney
Hackney 029A,Hackney
Hackney 029B,Hackney
Hackney 029C,Hackney
Hackney 029D,Hackney
Hammersmith and Fulham 001A,Hammersmith and Fulham
Hammersmith and Fulham 001B,Hammersmith and Fulham
Hammersmith and Fulham 001C,Hammersmith and Fulham
Hammersmith and Fulham 001D,Hammersmith and Fulham
Hammersmith and Fulham 001E,Hammersmith and Fulham
Hammersmith and Fulham 002A,Hammersmith and Fulham
Hammersmith and Fulham 002B,Hammersmith and Fulham
Hammersmith and Fulham 002C,Hammersmith and Fulham
Hammersmith and Fulham 002D,Hammersmith and Fulham
Hammersmith and Fulham 003A,Hammersmith and Fulham
Hammersmith and Fulham 003B,Hammersmith and Fulham
Hammersmith and Fulham 003C,Hammersmith and Fulham
Hammersmith and Fulham 003D,Hammersmith and Fulham
Hammersmith and Fulham 004A,Hammersmith and Fulham
Hammersmith and Fulham 004B,Hammersmith and Fulham
Hammersmith and Fulham 004C,Hammersmith and Fulham
Hammersmith and Fulham 004D,Hammersmith and Fulham
Hammersmith and Fulham 005A,Hammersmith and Fulham
Hammersmith and Fulham 005B,Hammersmith and Fulham
Hammersmith and Fulham 005C,Hammersmith and Fulham
Hammersmith and Fulham 005D,Hammersmith and Fulham
Hammersmith and Fulham 006A,Hammersmith and Fulham
Hammersmith and Fulham 006B,Hammersmith and Fulham
Hammersmith and Fulham 006C,Hammersmith and Fulham
Hammersmith and Fulham 006D,Hammersmith and Fulham
Hammersmith and Fulham 006E,Hammersmith and Fulham
Hammersmith and Fulham 007A,Hammersmith and Fulham
Hammersmith and Fulham 007B,Hammersmith and Fulham
Hammersmith and Fulham 007C,Hammersmith and Fulham
Hammersmith and Fulham 007D,Hammersmith and Fulham
Hammersmith and Fulham 008A,Hammersmith and Fulham
Hammersmith and Fulham 008B,Hammersmith and Fulham
Hammersmith and Fulham 008C,Hammersmith and Fulham
Hammersmith and Fulham 008D,Hammersmith and Fulham
Hammersmith and Fulham 009A,Hammersmith and Fulham
Hammersmith and Fulham 009B,Hammersmith and Fulham
Hammersmith and Fulham 009C,Hammersmith and Fulham
Hammersmith and Fulham 009D,Hammersmith and Fulham
Hammersmith and Fulham 010A,Hammersmith and Fulham
Hammersmith and Fulham 010B,Hammersmith and Fulham
Hammersmith and Fulham 010C,Hammersmith and Fulham
Hammersmith and Fulham 010D,Hammersmith and Fulham
Hammersmith and Fulham 010E,Hammersmith and Fulham
Hammersmith and Fulham 011A,Hammersmith and Fulham
Hammersmith and Fulham 011B,Hammersmith and Fulham
Hammersmith and Fulham 011C,Hammersmith and Fulham
Hammersmith and Fulham 011D,Hammersmith and Fulham
Hammersmith and Fulham 012A,Hammersmith and Fulham
Hammersmith and Fulham 012B,Hammersmith and Fulham
Hammersmith and Fulham 012C,Hammersmith and Fulham
Hammersmith and Fulham 012D,Hammersmith and Fulham
Hammersmith and Fulham 012E,Hammersmith and Fulham
Hammersmith and Fulham 012F,Hammersmith and Fulham
Hammersmith and Fulham 013A,Hammersmith and Fulham
Hammersmith and Fulham 013B,Hammersmith and Fulham
Hammersmith and Fulham 013C,Hammersmith and Fulham
